Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -C -DL -O11111114 -fo8 -N"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\10 - DISPLAY_LCD_8_BITS\DISPLAY_LCD_8_BITS.mcppi" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\10 - DISPLAY_LCD_8_BITS\" -SP"C:\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\10 - DISPLAY_LCD_8_BITS\" -SP"C:\Compiladores\MikroC\Programa\PRO\Exemplos\10 - DISPLAY_LCD_8_BITS\" -SP"C:\Compiladores\MikroC\Programa\PRO\Exemplos\xx - DISPLAY_7_SEG\" "main.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\10 - DISPLAY_LCD_8_BITS'	 
warning: 0	1501	Specified search path does not exist: 'C:\Compiladores\MikroC\Programa\PRO\Exemplos\10 - DISPLAY_LCD_8_BITS'	 
warning: 0	1501	Specified search path does not exist: 'C:\Compiladores\MikroC\Programa\PRO\Exemplos\xx - DISPLAY_7_SEG'	 
diagnostics: 0	125	All files Preprocessed in 16 ms	 
diagnostics: 0	121	Compilation Started	main.c
diagnostics: 241	122	Compiled Successfully	main.c
diagnostics: 0	126	All files Compiled in 94 ms	 
hint: 0	1141	Used RAM (bytes): 16 (1%)  Free RAM (bytes): 1499 (99%)	Used RAM (bytes): 16 (1%)  Free RAM (bytes): 1499 (99%)
hint: 0	1141	Used ROM (bytes): 1014 (3%)  Free ROM (bytes): 31754 (97%)	Used ROM (bytes): 1014 (3%)  Free ROM (bytes): 31754 (97%)
diagnostics: 0	124	Project Linked Successfully	DISPLAY_LCD_8_BITS.mcppi
diagnostics: 0	127	Linked in 203 ms	 
diagnostics: 0	128	Project 'DISPLAY_LCD_8_BITS.mcppi' completed: 391 ms	 
diagnostics: 0	103	Finished successfully: 14 jul 2009, 14:47:24	DISPLAY_LCD_8_BITS.mcppi
